model,modality,kaldi_only,llm_only,shared,neither,nlr2_kaldi,nlr2_llm,V_kaldi_total,V_llm_total
whisper-base-enc,encoder,0.03583,0.29565,0.17517,0.47958,1.0,1.0,0.211,0.49835
whisper-small-enc,encoder,0.02559,0.32835,0.15308,0.47764,1.0,1.0,0.17868,0.51209
whisper-medium-enc,encoder,0.0236,0.36027,0.15,0.44981,1.0,1.0,0.17361,0.5429
whisper-large-enc,encoder,0.028,0.35858,0.16465,0.43175,1.0,1.0,0.19265,0.55728
whisper-large-v2-enc,encoder,0.03675,0.29021,0.19525,0.46085,1.0,1.0,0.232,0.51933
whisper-large-v1-enc,encoder,0.02679,0.3333,0.15829,0.46575,1.0,1.0,0.18508,0.52333
whisper-base-dec,decoder,0.00713,0.32018,0.11349,0.541,1.0,1.0,0.12062,0.47007
whisper-small-dec,decoder,0.00598,0.28349,0.11786,0.57283,1.0,1.0,0.12384,0.44104
whisper-medium-dec,decoder,0.0097,0.23639,0.05262,0.6928,1.0,1.0,0.06231,0.30599
whisper-large-dec,decoder,0.01427,0.15993,0.04867,0.77095,1.0,1.0,0.06295,0.22095
whisper-large-v2-dec,decoder,0.00812,0.27609,0.07946,0.62299,1.0,1.0,0.08758,0.38223
whisper-large-v1-dec,decoder,0.00993,0.21213,0.06086,0.70769,1.0,1.0,0.07079,0.29177
