pair,mean_cka,std_across_runs,ci95_across_runs,score_run1
whisper-medium-dec vs pythia-160m,0.880785,0.000000,0.000735,0.880785
whisper-medium-dec vs olmo-7b,0.932481,0.000000,0.000628,0.932481
whisper-medium-dec vs pythia-6.9b,0.930508,0.000000,0.000679,0.930508
whisper-large-dec vs parakeet-ctc-0.6b,0.846018,0.000000,0.001164,0.846018
whisper-large-dec vs babylm-125m,0.892310,0.000000,0.001166,0.892310
whisper-large-dec vs opt-125m,0.890207,0.000000,0.001301,0.890207
whisper-large-dec vs babylm-350m,0.886087,0.000000,0.001227,0.886087
whisper-large-dec vs babylm-1.3b,0.931923,0.000000,0.001002,0.931923
whisper-large-dec vs pythia-160m,0.802918,0.000000,0.001204,0.802918
whisper-large-dec vs olmo-7b,0.872641,0.000000,0.001260,0.872641
whisper-large-dec vs pythia-6.9b,0.878199,0.000000,0.001255,0.878199
parakeet-ctc-0.6b vs babylm-125m,0.964884,0.000000,0.000288,0.964884
parakeet-ctc-0.6b vs opt-125m,0.952742,0.000000,0.000441,0.952742
parakeet-ctc-0.6b vs babylm-350m,0.966974,0.000000,0.000331,0.966974
parakeet-ctc-0.6b vs babylm-1.3b,0.868934,0.000000,0.000792,0.868934
parakeet-ctc-0.6b vs pythia-160m,0.983767,0.000000,0.000203,0.983767
parakeet-ctc-0.6b vs olmo-7b,0.978822,0.000000,0.000203,0.978822
parakeet-ctc-0.6b vs pythia-6.9b,0.963861,0.000000,0.000385,0.963861
babylm-125m vs opt-125m,0.988382,0.000000,0.000169,0.988382
babylm-125m vs babylm-350m,0.996745,0.000000,0.000047,0.996745
babylm-125m vs babylm-1.3b,0.948191,0.000000,0.000392,0.948191
babylm-125m vs pythia-160m,0.952737,0.000000,0.000338,0.952737
babylm-125m vs olmo-7b,0.985322,0.000000,0.000156,0.985322
babylm-125m vs pythia-6.9b,0.974163,0.000000,0.000276,0.974163
opt-125m vs babylm-350m,0.987637,0.000000,0.000171,0.987637
opt-125m vs babylm-1.3b,0.948970,0.000000,0.000531,0.948970
opt-125m vs pythia-160m,0.938257,0.000000,0.000529,0.938257
opt-125m vs olmo-7b,0.982281,0.000000,0.000192,0.982281
opt-125m vs pythia-6.9b,0.971080,0.000000,0.000320,0.971080
babylm-350m vs babylm-1.3b,0.942864,0.000000,0.000422,0.942864
babylm-350m vs pythia-160m,0.956533,0.000000,0.000363,0.956533
babylm-350m vs olmo-7b,0.986159,0.000000,0.000165,0.986159
babylm-350m vs pythia-6.9b,0.972848,0.000000,0.000325,0.972848
babylm-1.3b vs pythia-160m,0.827302,0.000000,0.000847,0.827302
babylm-1.3b vs olmo-7b,0.913621,0.000000,0.000607,0.913621
babylm-1.3b vs pythia-6.9b,0.916154,0.000000,0.000696,0.916154
pythia-160m vs olmo-7b,0.975952,0.000000,0.000216,0.975952
pythia-160m vs pythia-6.9b,0.953671,0.000000,0.000474,0.953671
olmo-7b vs pythia-6.9b,0.986135,0.000000,0.000218,0.986135
