model,params,arch,embedding_dim,effective_rank,var_pc1,var_top5,var_top10
whisper-base-enc,74M,Whisper encoder,512,25.97,0.1623,0.4964,0.6587
whisper-small-enc,244M,Whisper encoder,768,21.29,0.2077,0.5765,0.7173
whisper-medium-enc,769M,Whisper encoder,1024,21.43,0.2347,0.5684,0.6924
whisper-large-enc,1550M,Whisper encoder,1280,23.24,0.2171,0.5278,0.6761
whisper-large-v2-enc,1550M,Whisper encoder,1280,35.07,0.1132,0.3510,0.5208
whisper-large-v1-enc,1550M,Whisper encoder,1280,25.19,0.1864,0.5139,0.6471
whisper-base-dec,74M,Whisper decoder,512,34.54,0.1550,0.3716,0.5099
whisper-small-dec,244M,Whisper decoder,768,18.56,0.3322,0.5885,0.6924
whisper-medium-dec,769M,Whisper decoder,1024,19.61,0.2381,0.5819,0.7285
whisper-large-dec,1550M,Whisper decoder,1280,31.63,0.1634,0.4141,0.5500
whisper-large-v2-dec,1550M,Whisper decoder,1280,16.61,0.3094,0.6392,0.7529
whisper-large-v1-dec,1550M,Whisper decoder,1280,21.54,0.2030,0.5657,0.7057
parakeet-ctc-0.6b,600M,FastConformer-CTC,1024,31.22,0.2154,0.3978,0.5215
mimi,~85M,Conv+Transformer codec,512,25.41,0.1884,0.4886,0.6473
kaldi-librispeech,~18M,TDNN-F chain (LF-MMI) — prefinal-chain.batchnorm2,256,35.07,0.1261,0.3421,0.5202
kaldi-librispeech-penult,~18M,TDNN-F chain (LF-MMI) — prefinal-chain.batchnorm1,1536,30.55,0.1558,0.3943,0.5762
kaldi-librispeech-antepen,~18M,TDNN-F chain (LF-MMI) — prefinal-l,256,12.65,0.4726,0.6404,0.7400
wav2vec2-base,95M,Wav2Vec2 (pre-trained only),768,17.68,0.2696,0.5974,0.7654
babylm-125m,125M,OPT,768,37.00,0.1184,0.3397,0.4913
opt-125m,125M,OPT,768,34.34,0.1428,0.3726,0.5250
babylm-350m,350M,OPT,1024,37.15,0.1121,0.3381,0.4911
babylm-1.3b,1.3B,OPT,2048,36.62,0.1232,0.3508,0.4906
pythia-160m,160M,GPT-NeoX,768,33.18,0.1403,0.3908,0.5377
olmo-7b,7B,OLMo-2,4096,24.04,0.2097,0.5038,0.6711
pythia-6.9b,6.9B,GPT-NeoX,4096,21.48,0.2089,0.5604,0.7004
