pair,cka_score,ci95
whisper-large-dec vs opt-125m,0.083603,0.001087
whisper-large-dec vs babylm-350m,0.238198,0.002293
whisper-large-dec vs babylm-1.3b,0.077370,0.001019
whisper-large-dec vs olmo-7b,0.126021,0.001752
whisper-large-dec vs pythia-160m,0.071195,0.001037
whisper-large-dec vs pythia-6.9b,0.089934,0.001167
parakeet-ctc-0.6b vs mimi,0.716783,0.001887
parakeet-ctc-0.6b vs voxtral-3b,0.630396,0.001435
parakeet-ctc-0.6b vs higgs-audio-v2-3b,0.298478,0.003049
parakeet-ctc-0.6b vs babylm-125m,0.406736,0.001079
parakeet-ctc-0.6b vs opt-125m,0.451643,0.001221
parakeet-ctc-0.6b vs babylm-350m,0.694232,0.001946
parakeet-ctc-0.6b vs babylm-1.3b,0.421725,0.001086
parakeet-ctc-0.6b vs olmo-7b,0.509722,0.001865
parakeet-ctc-0.6b vs pythia-160m,0.386653,0.001263
parakeet-ctc-0.6b vs pythia-6.9b,0.465491,0.001323
mimi vs voxtral-3b,0.415273,0.002260
mimi vs higgs-audio-v2-3b,0.275707,0.003063
mimi vs babylm-125m,0.153910,0.001494
mimi vs opt-125m,0.200172,0.001891
mimi vs babylm-350m,0.689755,0.001844
mimi vs babylm-1.3b,0.176782,0.001646
mimi vs olmo-7b,0.296070,0.002698
mimi vs pythia-160m,0.161596,0.001662
mimi vs pythia-6.9b,0.200801,0.001893
voxtral-3b vs higgs-audio-v2-3b,0.219110,0.002280
voxtral-3b vs babylm-125m,0.490377,0.001176
voxtral-3b vs opt-125m,0.491457,0.001213
voxtral-3b vs babylm-350m,0.466150,0.002369
voxtral-3b vs babylm-1.3b,0.490862,0.001096
voxtral-3b vs olmo-7b,0.525899,0.001364
voxtral-3b vs pythia-160m,0.429169,0.001401
voxtral-3b vs pythia-6.9b,0.572097,0.001189
higgs-audio-v2-3b vs babylm-125m,0.127341,0.001207
higgs-audio-v2-3b vs opt-125m,0.167339,0.001748
higgs-audio-v2-3b vs babylm-350m,0.391208,0.003700
higgs-audio-v2-3b vs babylm-1.3b,0.141422,0.001433
higgs-audio-v2-3b vs olmo-7b,0.233194,0.002634
higgs-audio-v2-3b vs pythia-160m,0.158870,0.001715
higgs-audio-v2-3b vs pythia-6.9b,0.171430,0.002032
babylm-125m vs opt-125m,0.723534,0.000727
babylm-125m vs babylm-350m,0.221659,0.001685
babylm-125m vs babylm-1.3b,0.881451,0.000301
babylm-125m vs olmo-7b,0.616584,0.000909
babylm-125m vs pythia-160m,0.646895,0.000981
babylm-125m vs pythia-6.9b,0.727739,0.000721
opt-125m vs babylm-350m,0.295987,0.002519
opt-125m vs babylm-1.3b,0.716797,0.000690
opt-125m vs olmo-7b,0.687906,0.000887
opt-125m vs pythia-160m,0.767298,0.000872
opt-125m vs pythia-6.9b,0.767566,0.000822
babylm-350m vs babylm-1.3b,0.252031,0.001913
babylm-350m vs olmo-7b,0.442703,0.003236
babylm-350m vs pythia-160m,0.265683,0.002429
babylm-350m vs pythia-6.9b,0.305573,0.002694
babylm-1.3b vs olmo-7b,0.609262,0.000870
babylm-1.3b vs pythia-160m,0.646809,0.000950
babylm-1.3b vs pythia-6.9b,0.716204,0.000691
olmo-7b vs pythia-160m,0.617282,0.001174
olmo-7b vs pythia-6.9b,0.774621,0.000783
pythia-160m vs pythia-6.9b,0.719998,0.001015
