pair,cka_score,hsic_std
mimi vs babylm-1.3b,0.063936,0.000004
mimi vs pythia-160m,0.095294,0.000000
mimi vs olmo-7b,0.057935,0.000005
mimi vs pythia-6.9b,0.102759,0.000012
babylm-125m vs opt-125m,0.688069,0.000110
babylm-125m vs babylm-350m,0.882095,0.000127
babylm-125m vs babylm-1.3b,0.765815,0.000093
babylm-125m vs pythia-160m,0.623332,0.000001
babylm-125m vs olmo-7b,0.617393,0.000103
babylm-125m vs pythia-6.9b,0.558933,0.000123
opt-125m vs babylm-350m,0.676267,0.000111
opt-125m vs babylm-1.3b,0.603568,0.000082
opt-125m vs pythia-160m,0.672732,0.000001
opt-125m vs olmo-7b,0.736046,0.000125
opt-125m vs pythia-6.9b,0.688610,0.000148
babylm-350m vs babylm-1.3b,0.768901,0.000096
babylm-350m vs pythia-160m,0.624256,0.000001
babylm-350m vs olmo-7b,0.602185,0.000103
babylm-350m vs pythia-6.9b,0.550368,0.000125
babylm-1.3b vs pythia-160m,0.555855,0.000001
babylm-1.3b vs olmo-7b,0.552973,0.000075
babylm-1.3b vs pythia-6.9b,0.509143,0.000091
pythia-160m vs olmo-7b,0.650288,0.000001
pythia-160m vs pythia-6.9b,0.732941,0.000003
olmo-7b vs pythia-6.9b,0.789871,0.000147
